OH-        -0.61011E+03    0.11647E+03    0.28760E+02   -0.45405E+01    0.28961E+00     3       Tsuji 73
CO2-       -0.16606E+04    0.26417E+03    0.26174E+02   -0.40169E+01    0.25378E+00     4     Burrows 99
C2O        -0.13979E+04    0.24796E+03    0.70941E+01   -0.15997E+01    0.11738E+00     3     Burrows 99
CHO        -0.11421E+04    0.21043E+03    0.15630E+02   -0.29221E+01    0.19988E+00     3     Burrows 99
CH2O       -0.15214E+04    0.33435E+03    0.24070E+02   -0.47031E+01    0.32628E+00     4     Burrows 99
F2         -0.15859E+03    0.11560E+03    0.62276E+01   -0.11561E+01    0.77590E-01     2     Burrows 99
FO         -0.22010E+03    0.10406E+03    0.61834E+01   -0.11185E+01    0.75364E-01     2     Burrows 99
HNa        -0.20103E+03    0.77968E+02    0.72095E+01   -0.14562E+01    0.10767E+00     2     Burrows 99
NaO        -0.27235E+03    0.82687E+02    0.56951E+01   -0.11450E+01    0.86709E-01     2     Burrows 99
FNa        -0.47637E+03    0.92163E+02    0.64257E+01   -0.12751E+01    0.95167E-01     2     Burrows 99
MgO        -0.34255E+03    0.11025E+03   -0.96660E+01    0.18479E+01   -0.12141E+00     2     Burrows 99
MgS        -0.28188E+03    0.10147E+03   -0.89932E+01    0.17995E+01   -0.12011E+00     2     Burrows 99
FMg        -0.46328E+03    0.85251E+02    0.60739E+01   -0.11366E+01    0.81300E-01     2     Burrows 99
F2Mg       -0.10329E+04    0.21012E+03    0.78150E+01   -0.14363E+01    0.10239E+00     3     Burrows 99
ClMg       -0.31195E+03    0.77991E+02    0.64529E+01   -0.12060E+01    0.86104E-01     2     Burrows 99
Cl2Mg      -0.78261E+03    0.20096E+03    0.47870E+01   -0.98962E+00    0.74020E-01     3     Burrows 99
AlH        -0.27904E+03    0.69221E+02    0.20243E+02   -0.40500E+01    0.28059E+00     2     Burrows 99
AlO        -0.51252E+03    0.10754E+03    0.62988E+01   -0.15448E+01    0.11688E+00     2     Burrows 99
AlO2       -0.91393E+03    0.23486E+03    0.49535E+01   -0.10198E+01    0.72702E-01     3     Burrows 99
AlS        -0.39651E+03    0.79602E+02    0.18460E+02   -0.37131E+01    0.25866E+00     2     Burrows 99
AlF2       -0.11775E+04    0.20589E+03    0.16672E+02   -0.33114E+01    0.23193E+00     3     Burrows 99
AlCl2      -0.84718E+03    0.19082E+03    0.16849E+02   -0.33226E+01    0.23182E+00     3     Burrows 99
Si-        -0.14056E+03    0.20889E+02    0.19341E+02   -0.30872E+01    0.19413E+00     2       Tsuji 73
H4Si       -0.12942E+04    0.43325E+03    0.23268E+02   -0.46400E+01    0.32368E+00     5     Burrows 99
FSi        -0.55045E+03    0.10209E+03    0.50863E+01   -0.79270E+00    0.50606E-01     2     Burrows 99
F2Si       -0.11980E+04    0.23220E+03    0.76411E+01   -0.12929E+01    0.85559E-01     3     Burrows 99
ClSi       -0.37398E+03    0.95067E+02    0.50367E+01   -0.77527E+00    0.48828E-01     2     Burrows 99
Cl2Si      -0.86272E+03    0.21754E+03    0.74276E+01   -0.11916E+01    0.76561E-01     3     Burrows 99
HP         -0.30082E+03    0.85014E+02    0.71731E+01   -0.15674E+01    0.14155E+00     2     Burrows 99
H2P        -0.65187E+03    0.19057E+03    0.11717E+02   -0.25092E+01    0.22879E+00     3     Burrows 99
H3P        -0.97292E+03    0.30594E+03    0.23590E+02   -0.61486E+01    0.61598E+00     4     Burrows 99
CP         -0.58434E+03    0.10666E+03    0.51706E+01   -0.85916E+00    0.62142E-01     2     Burrows 99
PN         -0.68315E+03    0.10235E+03    0.81707E+01   -0.15064E+01    0.11157E+00     2       Tsuji 73
PO         -0.58803E+03    0.98650E+02    0.75557E+01   -0.13711E+01    0.10052E+00     2       Tsuji 73
PO2        -0.11263E+04    0.22525E+03    0.13664E+02   -0.26699E+01    0.19690E+00     3       Tsuji 73
PS         -0.45581E+03    0.98091E+02    0.38774E+01   -0.61341E+00    0.44454E-01     2     Burrows 99
FP         -0.44849E+03    0.97949E+02    0.52235E+01   -0.93868E+00    0.66621E-01     2     Burrows 99
F2P        -0.96394E+03    0.22044E+03    0.74980E+01   -0.13179E+01    0.93947E-01     3     Burrows 99
ClP        -0.30935E+03    0.90797E+02    0.46185E+01   -0.73620E+00    0.52505E-01     2     Burrows 99
COS        -0.13832E+04    0.25921E+03    0.83543E+01   -0.17775E+01    0.12671E+00     3     Burrows 99
SO2        -0.10691E+04    0.23494E+03    0.16553E+02   -0.33133E+01    0.23756E+00     3       Tsuji 73
SSO        -0.85850E+03    0.21693E+03   -0.52802E+02    0.98850E+01   -0.67114E+00     3       Tsuji 73
SO3        -0.14155E+04    0.38482E+03    0.21171E+02   -0.44574E+01    0.32700E+00     4       Tsuji 73
Cl-        -0.35542E+03    0.28959E+02    0.18234E+02   -0.26535E+01    0.16302E+00     2     Burrows 99
Cl2        -0.24258E+03    0.10561E+03    0.75171E+01   -0.13603E+01    0.90406E-01     2     Burrows 99
CCl        -0.33634E+03    0.98430E+02    0.63410E+01   -0.11327E+01    0.75288E-01     2     Burrows 99
CCl2       -0.72370E+03    0.22898E+03    0.56784E+01   -0.13138E+01    0.99512E-01     3     Burrows 99
CCl3       -0.10028E+04    0.35976E+03    0.86462E+01   -0.17148E+01    0.11967E+00     4     Burrows 99
CCl4       -0.13008E+04    0.51537E+03    0.62046E+01   -0.13717E+01    0.97783E-01     5     Burrows 99
ClO        -0.26975E+03    0.99501E+02    0.66585E+01   -0.11900E+01    0.80155E-01     2     Burrows 99
ClO2       -0.51649E+03    0.23222E+03    0.96690E+01   -0.18209E+01    0.12475E+00     3     Burrows 99
Cl2O       -0.40470E+03    0.22369E+03    0.89892E+01   -0.15989E+01    0.10843E+00     3     Burrows 99
ClS        -0.24216E+03    0.95221E+02    0.52881E+01   -0.87126E+00    0.57421E-01     2     Burrows 99
Cl2S       -0.53814E+03    0.21720E+03    0.84761E+01   -0.14598E+01    0.98189E-01     3     Burrows 99
ClHO       -0.66398E+03    0.20354E+03    0.16159E+02   -0.29367E+01    0.19775E+00     3     Burrows 99
CClO       -0.11510E+04    0.21875E+03    0.10559E+02   -0.19301E+01    0.13221E+00     3     Burrows 99
HK         -0.18242E+03    0.71986E+02    0.86219E+01   -0.18635E+01    0.15175E+00     2     Burrows 99
KO         -0.26508E+03    0.77451E+02    0.73921E+01   -0.16220E+01    0.13561E+00     2     Burrows 99
FK         -0.49283E+03    0.86734E+02    0.81155E+01   -0.17395E+01    0.14317E+00     2     Burrows 99
CaO        -0.38008E+03    0.83155E+02    0.15201E+02   -0.40235E+01    0.32348E+00     2     Burrows 99
CaS        -0.33224E+03    0.86986E+02    0.88451E+01   -0.27884E+01    0.24672E+00     2     Burrows 99
FTi        -0.62638E+03    0.11992E+03   -0.97651E+01    0.24395E+01   -0.18047E+00     2     Burrows 99
F2Ti       -0.13260E+04    0.25795E+03   -0.51083E+01    0.14358E+01   -0.11222E+00     3     Burrows 99
ClTi       -0.44714E+03    0.11338E+03   -0.94120E+01    0.23640E+01   -0.17564E+00     2     Burrows 99
Cl2Ti      -0.95913E+03    0.24579E+03   -0.43441E+01    0.13087E+01   -0.10429E+00     3     Burrows 99
VN         -0.46317E+03    0.96730E+02    0.11034E+02   -0.20573E+01    0.14717E+00     2       Tsuji 73
CrN        -0.36642E+03    0.99504E+02    0.34136E+01   -0.29044E+00    0.21834E-01     2     Burrows 99
CrO        -0.46063E+03    0.99128E+02    0.43185E+01   -0.10173E+01    0.14983E+00     2     Burrows 99
CrO2       -0.97454E+03    0.23129E+03    0.90083E+01   -0.26608E+01    0.38289E+00     3     Burrows 99
FeO        -0.41565E+03    0.10303E+03    0.59633E+01   -0.99083E+00    0.71938E-01     2     Burrows 99
FeS        -0.32390E+03    0.98106E+02    0.22910E+01   -0.18457E+00    0.15036E-01     2     Burrows 99
FFe        -0.44896E+03    0.10291E+03    0.51395E+01   -0.79526E+00    0.59552E-01     2     Burrows 99
F2Fe       -0.96563E+03    0.24010E+03   -0.10519E+01    0.16702E+00   -0.73302E-03     3     Burrows 99
ClFe       -0.28773E+03    0.91558E+02    0.31743E+01   -0.47969E+00    0.39408E-01     2     Burrows 99
Cl2Fe      -0.80140E+03    0.21575E+03    0.41008E+01   -0.92129E+00    0.76089E-01     3     Burrows 99
ClNi       -0.36788E+03    0.89982E+02    0.10057E+02   -0.20669E+01    0.14040E+00     2     Burrows 99
CuO        -0.28098E+03    0.93819E+02    0.28047E+01   -0.35411E+00    0.25243E-01     2     Burrows 99
CuF        -0.43053E+03    0.10182E+03    0.27323E+01   -0.31822E+00    0.20694E-01     2     Burrows 99
ClCu       -0.37063E+03    0.10072E+03    0.31750E+00    0.23927E+00   -0.16944E-01     2     Burrows 99
SrO        -0.42498E+03    0.90084E+02    0.10071E+02   -0.27869E+01    0.22945E+00     2       Tsuji 73
SrS        -0.33168E+03    0.85392E+02    0.92989E+01   -0.28484E+01    0.24937E+00     2       Tsuji 73
FSr        -0.53778E+03    0.83230E+02    0.48318E+01   -0.93788E+00    0.87129E-01     2     Burrows 99
F2Sr       -0.10884E+04    0.19037E+03    0.63174E+01   -0.12221E+01    0.11215E+00     3     Burrows 99
ClSr       -0.40915E+03    0.76158E+02    0.53645E+01   -0.10411E+01    0.93451E-01     2     Burrows 99
Cl2Sr      -0.87977E+03    0.17663E+03    0.74966E+01   -0.14327E+01    0.12597E+00     3     Burrows 99
SrOH       -0.83392E+03    0.18706E+03    0.12883E+02   -0.26508E+01    0.20879E+00     3       Tsuji 73
HZr        -0.30129E+03    0.52246E+02    0.30201E+02   -0.62608E+01    0.45970E+00     2     Burrows 99
ZrN        -0.36686E+03    0.96006E+02    0.11477E+02   -0.17634E+01    0.12158E+00     2       Tsuji 73
ZrO2       -0.13908E+04    0.22196E+03    0.16058E+02   -0.27064E+01    0.19018E+00     3       Tsuji 73
FZr        -0.58859E+03    0.53053E+02    0.38309E+02   -0.87299E+01    0.66572E+00     2     Burrows 99
