F2Fe    -961.540      229.453      5.36569     -1.23223     0.102006     3
ClFe    -284.975      86.1236      6.30290     -1.12689     0.084878     2
Cl2Fe   -797.730      208.542      8.31706     -1.80778     0.139341     3
ClNi    -368.070      90.9407      9.40418     -1.89961     0.126661     2
CuO     -279.508      90.4580      4.87020     -0.81591     0.059875     2
CuF     -428.393      96.0260      6.27793     -1.09770     0.079181     2
ClCu    -366.895      91.7905      6.05058     -1.04348     0.078060     2
SrO     -424.981      90.0843      10.0712     -2.78686     0.229451     2
SrS     -331.683      85.3923      9.29895     -2.84836     0.249369     2
FSr     -536.844      80.7209      6.23803     -1.21794     0.104563     2
F2Sr    -1087.02      186.070      8.84335     -1.75177     0.148267     3
ClSr    -408.343      75.0171      5.93845     -1.13195     0.096543     2
Cl2Sr   -878.562      174.820      8.50130     -1.61569     0.135763     3
SrOH    -833.919      187.065      12.8835     -2.65080     0.208787     3
HZr     -309.279      74.7552      12.9932     -2.07948     0.141397     2
ZrN     -366.864      96.0062      11.4767     -1.76339     0.121579     2
ZrO2    -1390.76      221.959      16.0580     -2.70635     0.190182     3
FZr     -604.256      92.4094      10.4100     -1.86165     0.132633     2
F2Zr    -1323.18      207.367      16.3162     -2.90757     0.200701     3
ClZr    -523.771      88.1662      10.4446     -1.77795     0.125377     2
Cl2Zr   -1036.21      213.580      11.0597     -1.95769     0.134383     3
HI      -297.211      85.0783      10.2733     -1.87929     0.128572     2
BaO     -551.151      95.3100      2.75827      0.39170    -0.057177     2
BaS     -417.471      87.9393      3.93693     -0.05076    -0.021087     2
BaF     -579.877      82.6594      2.40509      0.35135    -0.033471     2
BaF2    -1140.21      185.120      4.51374     -0.06161     0.004013     3
BaCl    -442.157      76.7695      2.32472      0.35140    -0.034591     2
BaCl2   -919.596      174.014      4.33784      0.03921    -0.005925     3
BaOH    -870.273      188.958      8.98920     -1.07398     0.070526     3
NbO     -781.396      103.039      14.1225     -2.55233     0.181120     2
C4      -1891.44      395.409      18.4255     -4.01675     0.299885     4
C5      -2598.14      537.387      22.7626     -5.13132     0.386811     5
TiH     -214.878      110.674     -7.48757      1.59641    -0.100264     2
CaH     -161.127      62.0384      5.73232     -0.26354    -0.006583     2
FeH     -162.231      103.466     -1.94155      0.28429    -0.000000     2
CrH     -271.224      68.8384      8.26610     -0.54831     0.006203     2 

