 
 Stellar Parameters:
 ==================
 Teff =  2500.00  logg =  4.50  mixLengthPara =  2.00  OvershotPara =  2.20
  13 deep element abundances
           1 H    1.00000000000000     
           6 C   2.454708915685033E-004
           7 N   6.025595860743581E-005
           8 O   4.570881896148752E-004
          11 Na  1.479108388168207E-006
          12 Mg  3.388441561392028E-005
          13 Al  2.344228815319923E-006
          14 Si  3.235936569296281E-005
          16 S   1.380384264602884E-005
          19 K   1.202264434617413E-007
          20 Ca  2.041737944669527E-006
          22 Ti  7.943282347242822E-008
          26 Fe  2.818382931264455E-005
 
 Dust Parameters:
 ===============
 Nl =  1000  Vl =    3.136480E-20  Abschluss =  8
   1 nucleation species
 TiO2    
   7 dust species
 TiO2[s]   
 Mg2SiO4[s]
 SiO2[s]   
 Fe[s]     
 Al2O3[s]  
 MgO[s]    
 MgSiO3[s] 
   6 affected elements
          12 Mg
          14 Si
          22 Ti
           8 O 
          26 Fe
          13 Al
 
                   R                   T                 rho                   p                  L0                  L1                  L2                  L3     Vol%_TiO2[s]        Vol%_Mg2SiO4[s]     Vol%_SiO2[s]        Vol%_Fe[s]          Vol%_Al2O3[s]       Vol%_MgO[s]         Vol%_MgSiO3[s]               eps_Mg              eps_Si              eps_Ti              eps_O               eps_Fe              eps_Al
  2.059042422109E+10  1.135358102094E+03  4.179094776802E-13  1.689557697285E-02  3.265830914012E-05  1.030097609714E-11  3.249099887524E-18  1.024820297286E-24  9.995131564681E-01  1.477231125652E-04  1.006821220970E-04  2.456943531924E-05  3.565961677428E-06  7.061467876483E-05  1.396882214652E-04  3.388437028646E-05  3.235933395906E-05  1.749179108252E-09  4.569327124485E-04  2.818382034400E-05  2.344228093717E-06
  2.059034240109E+10  1.135369831322E+03  4.327429797752E-13  1.749539436325E-02  3.783895205118E-05  1.193526645370E-11  3.764654611157E-18  1.187457661789E-24  9.994555854754E-01  1.652700632083E-04  1.125605991107E-04  2.747077178549E-05  3.990369739184E-06  7.895064371922E-05  1.561720770186E-04  3.388436523511E-05  3.235933042686E-05  1.707352748429E-09  4.569326165585E-04  2.818381934707E-05  2.344228012730E-06
  2.059026058109E+10  1.135381560549E+03  4.481029901121E-13  1.811650613752E-02  4.363441510271E-05  1.376356822125E-11  4.341431178467E-18  1.369414065234E-24  9.993943813175E-01  1.839383547777E-04  1.251837583450E-04  3.055446942931E-05  4.441992764895E-06  8.781007862675E-05  1.736900285492E-04  3.388435988504E-05  3.235932668643E-05  1.666591951459E-09  4.569325220772E-04  2.818381829159E-05  2.344227926881E-06
  2.059017876109E+10  1.135393289776E+03  4.640081968557E-13  1.875966827705E-02  5.011756796644E-05  1.580888703583E-11  4.986692679881E-18  1.572982531388E-24  9.993292804908E-01  2.038099646732E-04  1.386053779728E-04  3.383372036021E-05  4.922812907448E-06  9.723082520689E-05  1.923168081005E-04  3.388435421160E-05  3.235932272059E-05  1.626868519332E-09  4.569324288886E-04  2.818381717272E-05  2.344227835770E-06
  2.059009694109E+10  1.135405019004E+03  4.804779514981E-13  1.942566360166E-02  5.736990803183E-05  1.809695452171E-11  5.708563499509E-18  1.800728215074E-24  9.992600003160E-01  2.249728791390E-04  1.528831340185E-04  3.732267460285E-05  5.434957077673E-06  1.072534697863E-04  2.121325693743E-04  3.388434818846E-05  3.235931851102E-05  1.588155019736E-09  4.569323368741E-04  2.818381598531E-05  2.344227738969E-06
  2.059001512109E+10  1.135416748231E+03  4.975322924039E-13  2.011530272242E-02  6.548258101937E-05  2.065655118460E-11  6.516131468854E-18  2.055520720415E-24  9.991862371371E-01  2.475216571322E-04  1.680789666150E-04  4.103653011932E-05  5.980710511267E-06  1.179216010555E-04  2.332233974833E-04  3.388434178749E-05  3.235931403809E-05  1.550424764928E-09  4.569322459123E-04  2.818381472385E-05  2.344227636022E-06
  2.058993330109E+10  1.135428477458E+03  5.151919691901E-13  2.082942502824E-02  7.455722898519E-05  2.351977508550E-11  7.419532989648E-18  2.340561069649E-24  9.991076598226E-01  2.715593895795E-04  1.842604289340E-04  4.499186112163E-05  6.562563891623E-06  1.292827569631E-04  2.556831769015E-04  3.388433497892E-05  3.235930928110E-05  1.513651791207E-09  4.569321558795E-04  2.818381338252E-05  2.344227526447E-06
  2.058985148109E+10  1.135440206686E+03  5.334784679714E-13  2.156889970755E-02  8.470809107018E-05  2.672270500276E-11  8.430162551506E-18  2.659447945826E-24  9.990239230167E-01  2.971937876408E-04  2.014979060677E-04  4.920594467074E-05  7.183119245336E-06  1.413864752740E-04  2.796097503680E-04  3.388432773032E-05  3.235930421744E-05  1.477810838946E-09  4.569320666465E-04  2.818381195497E-05  2.344227409715E-06
  2.058976966109E+10  1.135454795639E+03  5.525066736008E-13  2.233843323263E-02  9.606383625082E-05  3.030598452898E-11  9.560858009799E-18  3.016236168256E-24  9.989346519920E-01  3.245417451001E-04  2.198677611813E-04  5.369752606122E-05  7.845199248710E-06  1.542865025910E-04  3.051092738148E-04  3.388432002568E-05  3.235929883605E-05  1.442881225186E-09  4.569319781337E-04  2.818381043813E-05  2.344227285563E-06
  2.058968784109E+10  1.135473760199E+03  5.723604080317E-13  2.314145534285E-02  1.087809225897E-04  3.431901565966E-11  1.082721866857E-17  3.415854528125E-24  9.988394228233E-01  3.537356954929E-04  2.394563185527E-04  5.848780121756E-05  8.551997510413E-06  1.680436142605E-04  3.323017496853E-04  3.388431183151E-05  3.235929311364E-05  1.408841108607E-09  4.569318902163E-04  2.818380882545E-05  2.344227153445E-06
  2.058960602109E+10  1.135492724759E+03  5.929275651046E-13  2.397334449592E-02  1.230252512860E-04  3.881424049522E-11  1.224582148358E-17  3.863537168134E-24  9.987377846278E-01  3.849163417393E-04  2.603554400930E-04  6.359932287042E-05  9.306909549372E-06  1.827224658097E-04  3.613148921249E-04  3.388430307732E-05  3.235928700101E-05  1.375661266101E-09  4.569318026653E-04  2.818380710309E-05  2.344227012222E-06
  2.058952420109E+10  1.135511689319E+03  6.142337808967E-13  2.483513840445E-02  1.389800171013E-04  4.384952944070E-11  1.383494744261E-17  4.365061828247E-24  9.986292481815E-01  4.182363014983E-04  2.826648156078E-04  6.905656429150E-05  1.011361866730E-05  1.983932174692E-04  3.922873009278E-04  3.388429371998E-05  3.235928046812E-05  1.343319055580E-09  4.569317153312E-04  2.818380526261E-05  2.344226861193E-06
